=== Suite started at 2024-02-25 09:38:09
=== Starting test, 1586 test cases
=cases         1586
=user          runner
=host          679-weiss-master-6aaefc6
=hosts         679-weiss-master-6aaefc6 
=emulator_vsn  14.3
=emulator      beam
=otp_release   27
=started       2024-02-25 09:38:09
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2024-02-25 09:38:10
=ended         2024-02-25 09:38:11
=result        ok
=elapsed       1.369269
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2024-02-25 09:38:11
=ended         2024-02-25 09:38:11
=result        ok
=elapsed       1.0e-6
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1794.html
=group_props   [{name,ldap_tests},sequence]
=started       2024-02-25 09:38:11
=ended         2024-02-25 09:38:11
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.html
=started       2024-02-25 09:38:11
=ended         2024-02-25 09:38:11
=result        ok
=elapsed       0.057478
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2024-02-25 09:38:11
=ended         2024-02-25 09:38:11
=result        ok
=elapsed       0.01738
=case          ejabberd_SUITE:vcard_get
=logfile       ejabberd_suite.vcard_get.html
=started       2024-02-25 09:38:11
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.173014
=case          ejabberd_SUITE:ldap_shared_roster_get
=logfile       ejabberd_suite.ldap_shared_roster_get.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.136633
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,ldap_tests},sequence]
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       3.0e-6
=group_time    0.843s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1954.html
=group_props   [{name,ldap},sequence]
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.0
=group_time    0.910s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1443.html
=group_props   [{name,no_db},sequence]
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       4.61e-4
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1475.html
=group_props   [{name,anonymous},parallel]
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_connect_bad_xml
=logfile       ejabberd_suite.test_connect_bad_xml.1507.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.001067
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.1986.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.05603
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.2018.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.05314
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.2050.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.00502
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.2308.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.001573
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.2372.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.007028
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.2340.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.00137
=case          ejabberd_SUITE:test_connect_missing_to
=logfile       ejabberd_suite.test_connect_missing_to.2404.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.002311
=case          ejabberd_SUITE:test_connect
=logfile       ejabberd_suite.test_connect.2436.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.002323
=case          ejabberd_SUITE:unauthenticated_iq
=logfile       ejabberd_suite.unauthenticated_iq.2468.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       7.57e-4
=case          ejabberd_SUITE:unauthenticated_message
=logfile       ejabberd_suite.unauthenticated_message.2500.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       5.48e-4
=case          ejabberd_SUITE:unauthenticated_presence
=logfile       ejabberd_suite.unauthenticated_presence.2532.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       5.66e-4
=case          ejabberd_SUITE:test_starttls
=logfile       ejabberd_suite.test_starttls.1539.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.041436
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.1571.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.051245
=case          ejabberd_SUITE:test_zlib
=logfile       ejabberd_suite.test_zlib.741.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.002906
=case          ejabberd_SUITE:test_bind
=logfile       ejabberd_suite.test_bind.2564.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.101667
=case          ejabberd_SUITE:test_open_session
=logfile       ejabberd_suite.test_open_session.1603.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.104437
=case          ejabberd_SUITE:codec_failure
=logfile       ejabberd_suite.codec_failure.1763.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.10228
=case          ejabberd_SUITE:unsupported_query
=logfile       ejabberd_suite.unsupported_query.1795.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.147386
=case          ejabberd_SUITE:bad_nonza
=logfile       ejabberd_suite.bad_nonza.1635.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.144883
=case          ejabberd_SUITE:invalid_from
=logfile       ejabberd_suite.invalid_from.1667.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.101595
=case          ejabberd_SUITE:ping
=logfile       ejabberd_suite.ping.1699.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.137076
=case          ejabberd_SUITE:version
=logfile       ejabberd_suite.version.1731.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.13771
=case          ejabberd_SUITE:time
=logfile       ejabberd_suite.time.1827.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.150202
=case          ejabberd_SUITE:stats
=logfile       ejabberd_suite.stats.1859.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.247098
=case          ejabberd_SUITE:disco
=logfile       ejabberd_suite.disco.1891.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       0.140792
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1349.html
=group_props   [{name,anonymous},parallel]
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       2.0e-6
=group_time    0.492s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.3108.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       3.0e-6
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.3140.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:12
=result        ok
=elapsed       8.53e-4
=case          ejabberd_SUITE:presence
=logfile       ejabberd_suite.presence.html
=started       2024-02-25 09:38:12
=ended         2024-02-25 09:38:13
=result        ok
=elapsed       0.101136
=case          ejabberd_SUITE:s2s_dialback
=logfile       ejabberd_suite.s2s_dialback.html
=started       2024-02-25 09:38:13
=ended         2024-02-25 09:38:13
=result        ok
=elapsed       0.139256
=case          ejabberd_SUITE:s2s_optional
=logfile       ejabberd_suite.s2s_optional.html
=started       2024-02-25 09:38:13
=ended         2024-02-25 09:38:13
=result        ok
=elapsed       0.147165
=case          ejabberd_SUITE:s2s_required
=logfile       ejabberd_suite.s2s_required.html
=started       2024-02-25 09:38:13
=ended         2024-02-25 09:38:13
=result        failed: {{badmatch,
                         {iq,<<"2139911154966534744">>,error,<<>>,
                          {jid,<<>>,<<"mnesia.localhost">>,<<>>,<<>>,
                           <<"mnesia.localhost">>,<<>>},
                          {jid,<<"test_single!#$%^*()`~+-;_=[]{}|\\">>,
                           <<"localhost">>,
                           <<"resource!@#$%^&*()'\"`~<>+-/;:_=[]{}|\\">>,
                           <<"test_single!#$%^*()`~+-;_=[]{}|\\">>,
                           <<"localhost">>,
                           <<"resource!@#$%^&*()'\"`~<>+-/;:_=[]{}|\\">>},
                          [{ping},
                           {stanza_error,wait,undefined,
                            'remote-server-timeout',
                            [{text,<<"en">>,
                              <<"Peer certificate rejected: Failed to get peer certificate">>}],
                            []}],
                          #{}}},
                        [{ejabberd_SUITE,s2s_ping,1,
                          [{file,
                            "/home/runner/work/ejabberd/ejabberd/test/ejabberd_SUITE.erl"},
                           {line,760}]},
                         {test_server,ts_tc,3,
                          [{file,"test_server.erl"},{line,1794}]},
                         {test_server,run_test_case_eval1,6,
                          [{file,"test_server.erl"},{line,1303}]},
                         {test_server,run_test_case_eval,9,
                          [{file,"test_server.erl"},{line,1235}]}]}, [{ejabberd_SUITE,
                                                                       s2s_ping,
                                                                       760},
                                                                      {test_server,
