=== Suite started at 2024-12-18 20:32:16
=== Starting test, 1598 test cases
=cases         1598
=user          runner
=host          877-weiss-master-3bc66a7
=hosts         877-weiss-master-3bc66a7 
=emulator_vsn  14.2.5.5
=emulator      beam
=otp_release   26
=started       2024-12-18 20:32:16
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2024-12-18 20:32:16
=ended         2024-12-18 20:32:19
=result        ok
=elapsed       2.665112s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2024-12-18 20:32:19
=ended         2024-12-18 20:32:19
=result        ok
=elapsed       0.000001s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1059.html
=group_props   [{name,ldap_tests},sequence]
=started       2024-12-18 20:32:19
=ended         2024-12-18 20:32:19
=result        ok
=elapsed       0.000003s
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.html
=started       2024-12-18 20:32:19
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.169243s
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.027643s
=case          ejabberd_SUITE:vcard_get
=logfile       ejabberd_suite.vcard_get.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.183178s
=case          ejabberd_SUITE:ldap_shared_roster_get
=logfile       ejabberd_suite.ldap_shared_roster_get.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.122865s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,ldap_tests},sequence]
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.000003s
=group_time    1.190s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1219.html
=group_props   [{name,ldap},sequence]
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.000000s
=group_time    1.246s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1251.html
=group_props   [{name,no_db},sequence]
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.000407s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1283.html
=group_props   [{name,anonymous},parallel]
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.000003s
=case          ejabberd_SUITE:test_connect_bad_xml
=logfile       ejabberd_suite.test_connect_bad_xml.1474.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.000763s
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.1506.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.083604s
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.1315.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.090619s
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.1347.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.001513s
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.1379.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.002065s
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.1060.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.001003s
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.1189.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.001092s
=case          ejabberd_SUITE:test_connect_missing_to
=logfile       ejabberd_suite.test_connect_missing_to.1221.html
=started       2024-12-18 20:32:20
=ended         2024-12-18 20:32:20
=result        ok
=elapsed       0.001111s
=case          ejabberd_SUITE:test_connect
=logfile       ejabberd_suite.test_connect.1253.html
=started       2024-12-18 20:32:20
