=== Suite started at 2023-08-25 12:35:20
=== Starting test, 1586 test cases
=cases         1586
=user          runner
=host          563-prefiks-master-c0e7774
=hosts         563-prefiks-master-c0e7774 
=emulator_vsn  14.0.2
=emulator      beam
=otp_release   26
=started       2023-08-25 12:35:20
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2023-08-25 12:35:20
=ended         2023-08-25 12:35:22
=result        ok
=elapsed       2.368976
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2023-08-25 12:35:22
=ended         2023-08-25 12:35:23
=result        ok
=elapsed       3.0e-6
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1426.html
=group_props   [{name,ldap_tests},sequence]
=started       2023-08-25 12:35:23
=ended         2023-08-25 12:35:23
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.html
=started       2023-08-25 12:35:23
=ended         2023-08-25 12:35:24
=result        ok
=elapsed       0.333516
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:24
=result        ok
=elapsed       0.078196
=case          ejabberd_SUITE:vcard_get
=logfile       ejabberd_suite.vcard_get.html
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:24
=result        ok
=elapsed       0.23662
=case          ejabberd_SUITE:ldap_shared_roster_get
=logfile       ejabberd_suite.ldap_shared_roster_get.html
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:24
=result        ok
=elapsed       0.152165
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,ldap_tests},sequence]
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:24
=result        ok
=elapsed       5.0e-6
=group_time    1.771s
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1474.html
=group_props   [{name,ldap},sequence]
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:24
=result        ok
=elapsed       2.0e-6
=group_time    1.832s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1490.html
=group_props   [{name,no_db},sequence]
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:24
=result        ok
=elapsed       7.2e-4
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1506.html
=group_props   [{name,anonymous},parallel]
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:24
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_connect_bad_xml
=logfile       ejabberd_suite.test_connect_bad_xml.1522.html
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:25
=result        ok
=elapsed       0.002956
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.995.html
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:25
=result        ok
=elapsed       0.277777
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.1011.html
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:25
=result        ok
=elapsed       0.206772
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.1027.html
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:25
=result        ok
=elapsed       0.004189
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.1043.html
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:25
=result        ok
=elapsed       0.002741
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.1059.html
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:25
=result        ok
=elapsed       0.002585
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.1075.html
=started       2023-08-25 12:35:24
=ended         2023-08-25 12:35:25
=result        ok
